Gamma,Max index
0.9625951368225787,1
0.9828675940117416,1
0.9722063948235609,0
0.9879925773836616,0
0.9902280677968064,9
0.9923945439492106,9
0.9964647807053605,9
0.9959557162895345,0
0.999396222588309,0
0.9501954554256838,9
0.9964131931535907,9
0.9976808496307966,9
0.9702654905998438,9
0.9720543956251392,1
0.9930695294942132,1
0.956503391835656,0
0.9942455177980878,0
0.9609877315340778,9
0.9967174486162138,9
0.9819085939401989,9
0.9749502668610358,2
0.9895179545113555,0
0.9950157479710421,0
0.989713275132117,0
0.9597476663399357,9
0.9785699845728371,9
0.9751300945243255,2
0.9927605367762973,2
0.9849140747304563,1
0.9501443308671822,1
0.8794533701087225,9
0.9517571726350016,9
0.9857804421593755,0
0.9970002956736818,0
0.9976705538073237,0
0.9964061750383002,9
0.9980999526570478,9
0.9775151402252459,0
0.9981387974124274,0
0.9945222816613233,0
0.9726564859177144,9
0.9709533325507038,9
0.9764689568505047,9
0.9908364986053256,1
0.9957945201551073,1
0.986653609403766,9
0.9894025938238873,9
0.9642797957086707,9
0.950953590017466,0
0.9975944367766764,0
0.9903012747999517,0
0.9552411216526433,1
0.9822888803590009,1
0.9471134836503458,2
0.979736271485654,9
0.9834056185146024,0
0.9943018794512766,0
0.9929617304951269,0
0.966745001560198,9
0.9954749453865,9
0.950128002804002,2
0.987343013662033,2
0.9896058555537368,0
0.9946764546490872,0
0.9158088647743431,0
0.993333265069965,1
0.9903253135225066,9
0.9824771347418848,9
0.9701533246056705,9
0.9732213844054293,1
0.9896974352931573,1
0.9864607729234613,0
0.9894534125393721,0
0.9490761636032584,9
0.9730557052037624,9
0.9726902254730146,9
0.9756029755030419,1
0.9981515558825842,0
0.9954761651036454,0
0.9792094326798626,1
0.9437163047697421,1
0.8820449278411079,1
0.9864350024182098,9
0.9922914485192886,0
0.9939907231368781,0
0.9933949639523216,0
0.9888861198223579,9
0.9863130328486303,9
0.9975849370791875,9
0.9992154738507214,0
0.9996468448962476,0
0.9930053991313533,9
0.9999086710609962,9
0.9912480405257222,9
0.9969773965835563,2
0.9991109145019302,0
0.9996441201317475,0
0.999382004585669,0
0.9966232223999925,2
0.9983254840020254,2
0.9806355252449571,9
0.9885482571443461,9
0.9932971637695892,0
0.998564883662288,0
0.9903111378862814,0
0.9866639445965265,1
0.9936548532636091,1
0.962063241011375,9
0.9908074043800996,9
0.9902124461079875,0
0.9982696271633937,0
0.9914783437580711,0
0.981432753396364,2
0.993651831629484,2
0.9615280454607702,9
0.9873495015998813,9
0.9989083787835245,0
0.9991527610725344,0
0.9949516270873544,9
