Iteration,Function,Gradient,Alpha
155,6874344253509789.0,9510543380161.824,0.001321411624538943
156,29173947665027.68,154073907673.59863,3.2282142477711077e-10
157,22235619788176.008,125558007145.25955,3.2283358701027844e-10
158,5106042823463.402,41157760747.293686,1.7442416094705112e-09
159,1954638778767.7,19671363536.4733,2.593790102606817e-09
160,647324115992.7897,8277448783.5298605,4.961673528662589e-09
161,238497867002.3439,3759967537.1125603,8.527257928455177e-09
162,85781541945.77467,1698526771.6930573,1.5484726954777045e-08
163,29569206173.268837,758918146.6535119,2.7958527933275166e-08
164,9591090827.433916,327558843.6842264,5.030873141042543e-08
165,3065687980.3664417,139993677.69150892,8.845755324296914e-08
166,988317200.5323539,59467613.57902123,1.544720367404209e-07
167,338409292.5641947,25176849.95784737,2.6825458732212536e-07
168,137069062.69061816,10800816.886236286,4.6306179308082697e-07
169,72206241.83284992,4912547.886481222,7.986983642663867e-07
170,48143813.65564746,2200096.0820075492,1.4216357733763828e-06
171,40087102.322156,738511.6234259198,2.570098563891972e-06
172,38990337.85936632,424492.03262306954,3.818207088894233e-06
173,39708564.617536135,1403744.769777014,4.066900891027183e-06
174,38855446.17211446,197405.6586882655,1.0050061140103015e-06
175,38833097.02877265,96867.81623869258,8.993099397176424e-07
176,38821534.8725514,96436.6979861514,1.2385613082055503e-06
177,37806656.93334226,356365.12515024963,0.0001204899953077844
178,321533060047.7914,5401285668.695334,0.0006427174860899891
179,3326407020.3511624,157765491.81713018,4.687542084433069e-08
180,2312139752.6260858,117273257.15671395,4.698706418918516e-08
181,710172898.262328,41386863.45811829,1.830188516087749e-07
182,360157075.3438674,20774021.831339348,2.8199989343739484e-07
183,186848709.85096774,11103813.628919058,5.569766878772022e-07
184,79290166.18692026,6818747.36461014,1.1016334818706097e-06
185,70017710.6929242,10546740.208896285,2.631333206410494e-06
186,43382413.78798901,4076841.3406684003,1.1547737212402484e-06
187,33819918.907946944,1399109.2962871003,8.398423525710337e-07
188,32705441.615624167,550678.1471122712,1.2595867514297404e-06
189,32473785.930423386,336086.39398093557,1.1239948636080194e-06
190,32313904.8578251,233021.32108842584,1.762739464681865e-06
191,32196907.41802126,248738.4978533225,4.477217334652356e-06
192,32472666.239833936,861391.978876885,4.325118895671084e-06
193,32139453.93273829,146826.76261622994,1.0505776238619132e-06
194,32126130.04751771,82349.99247923608,9.286281876323936e-07
195,32116740.91431649,82264.14818636305,1.3861245785346448e-06
196,28771147.433257923,824286.2249921098,0.0005976746150428586
197,405535753966250.2,1137745042634.0898,0.001760447148152435
198,2002640569628.9722,20668523383.434982,1.3303222229712687e-09
199,1492128840788.9944,16560546723.78124,1.3305369905922885e-09
200,345216106385.263,5471607440.825011,6.694192319462716e-09
201,130889177658.36305,2605298998.9211435,9.99458060383255e-09
202,42824972300.29155,1093515682.6097062,1.9060512912447592e-08
203,15490864580.204922,492891445.26826626,3.273712825810105e-08
204,5481016027.454179,221122475.21627727,5.9178852567581825e-08
205,1860189829.004215,98229997.14276181,1.0641477873583493e-07
206,595457432.8443516,41803529.4055416,1.908201235902448e-07
207,199019224.55511364,17500334.80977006,3.321884129908263e-07
